Timestamp;Stadt;Wetter;Temperatur;Gefuehlt;Luftfeuchtigkeit;Taupunkt;Wolkenbedeckung;Windgeschwindigkeit;Windboeen
25.01.2026 19:24;pound town;Bedeckt;'6.6;'2.7;85%;'4.3;Bedeckt;17.3 km/h (Frischer Wind);31.3 km/h;
25.01.2026 20:01;wien;Nieselregen;'3.3;'-0.2;95%;'2.5;Bedeckt;12.0 km/h (Frischer Wind);26.6 km/h;
26.01.2026 00:54;Wien;Bedeckt;'3.3;'1.0;97%;'2.8;Bedeckt;4.2 km/h (Leichter Wind);19.8 km/h;
26.01.2026 00:54;Istanbul;Bedeckt;'11.3;'10.3;80%;'7.9;Bedeckt;2.6 km/h (Leichter Wind);3.2 km/h;
26.01.2026 00:54;Salzburg;Schneeschauer;'-0.7;'-3.2;90%;'-2.2;Bedeckt;0.4 km/h (Windstille);6.8 km/h;
26.01.2026 01:00;Wien;Bedeckt;'3.2;'0.7;97%;'2.8;Bedeckt;5.7 km/h (Mäßiger Wind);19.8 km/h;
26.01.2026 01:00;Istanbul;Bedeckt;'11.2;'10.3;82%;'8.2;Bedeckt;2.3 km/h (Leichter Wind);2.9 km/h;
26.01.2026 01:00;Salzburg;Überwiegend klar;'-0.8;'-3.5;90%;'-2.3;Bedeckt;1.3 km/h (Windstille);6.5 km/h;
26.01.2026 01:09;Wien;Bedeckt;'3.2;'0.7;97%;'2.8;Bedeckt;5.7 km/h (Mäßiger Wind);19.8 km/h;
26.01.2026 01:09;Istanbul;Bedeckt;'11.2;'10.3;82%;'8.2;Bedeckt;2.3 km/h (Leichter Wind);2.9 km/h;
26.01.2026 01:09;Tel Aviv;Überwiegend klar;'11.6;'9.9;65%;'5.2;Klar;4.0 km/h (Leichter Wind);6.8 km/h;
26.01.2026 01:10;Nevsehir;Bedeckt;'4.3;'0.8;73%;'-0.2;Bedeckt;8.7 km/h (Mäßiger Wind);22.7 km/h;
26.01.2026 01:10;Kayseri;Überwiegend klar;'0.1;'-2.7;92%;'-1.0;Bedeckt;4.0 km/h (Leichter Wind);3.2 km/h;
